英語,品詞1,品詞2,意味1,意味2,備考
absent,adjective,,不在の,,
abuse,verb,noun,乱用する,乱用,
accurate,adjective,,正確な,,
addict,noun,verb,中毒者,中毒させる,
affect,verb,,～に影響を及ぼす,,
almost,adverb,adjective,ほとんど,ほとんど,
along,preposition,adverb,～に沿って,沿って,
also,adverb,conjunction,また,そしてそのうえ,
among,preposition,,～のなかで,,
ASAP,adverb,,少しでも早く,,as soon as possibleの略
because of,preposition,,～がために,,
blush,verb,noun,顔を赤らめる,赤面,
broaden,verb,,～を広げる,広くなる,
cause,noun,verb,原因,～を引き起こす,
cigarette,noun,,たばこ,,
clearly,adverb,,はっきり,,
colleague,noun,,同僚,,
confident,adjective,,確信して,自信に満ちた,
daunt,verb,,ひるませる,,
dear,adjective,,親愛な,,
decline,verb,,減退する,,
depiction,noun,,描写,,
depressed,adjective,,消沈した～,,
desperately,adverb,,必死になって,,
disgusting,adjective,,実に嫌な,,
disorder,noun,,無秩序,,
drift,verb,,漂流する,,
drizzle,noun,,霧雨,,
economically,adverb,,経済的に,,
encourage,verb,,勇気づける,,
enthusiasm,noun,,熱中,,
estimate,noun,verb,見積り,～を見積もる,
even,adverb,adjective,～でさえも,平らな,
exhausted,adjective,,消耗した～,,
extremely,adverb,,きわめて,,
flee,verb,,逃げる,,
gradually,adverb,,徐々に,,
hesitate,verb,,ちゅうちょする,,
human beings,noun,,ヒト,,
immature,adjective,,未熟な,,
immigrant,noun,,移住者,,
infant,noun,,小児,,
instance,noun,,実例,,
invitation,noun,,招待,,
lack,noun,verb,不足,～を欠く,
lay,verb,,置く,,
lie,verb,noun,横たわる,位置,
mammal,noun,,哺乳動物,,
monarch,noun,,君主,,
pale,adjective,verb,青ざめた,青ざめる,
parking lot,noun,,駐車場,,
participation,noun,,参加,,
persecution,noun,,迫害,,
possess,verb,,～を所有する,,
punctuality,noun,,時間厳守,,
racial,adjective,,種族の,,
rational,adjective,,合理的な,,
resonance,noun,,響き,,
resuscitation,noun,,蘇生,,
revolutionize,verb,,革命を起こす,,
rub,verb,,～をこする,擦れる,
ruin,noun,,破滅,,
shore,noun,,岸,,
sink,verb,,沈む,沈める,
sip,verb,,少しずつ飲む,ひとすすり,
sound sleep,noun,,熟睡,,
spill,verb,,こぼす,,
sternly,adverb,,厳格に,,
utterly,adverb,,すっかり,,
witness,noun,verb,目撃者,～を目撃する（証明する）,
suicidal,adjective,,自滅的な,,
politically,adverb,,政治的に,,
critical,adjective,,批判的な,,
unexpected,adjective,,予期しない,,
discrimination,noun,,区別,,
overt,adjective,,明白な,,
otherwise,adverb,,他の状態に,,
supreme,adjective,,最上位の,,
court,noun,,裁判所,,
segregated,adjective,,分離した,,
inherently,adverb,,本質的に,,
unequal,adjective,,等しくない,,
unconstitutional,adjective,,憲法違反の,,
racially,adverb,,人種的に,,
cut back,verb,,減らす,,
uneasy,adjective,,落ち着かない,,
in a hurry,adverb,,急いで,,
as usual,adverb,,いつものように,,
worse,adjective,,badの比較級,,
ruin,verb,,損ねる,,
swear,verb,,誓う,,
endure,verb,,耐える,,
resist,verb,,抵抗する,,
temptation,noun,,誘惑,,
chew,verb,,噛む,,
feel like ~ing,verb,,～したくなる,,
Before long,adverb,,まもなく,,
sore,verb,,痛い,,
even when,,,～の時でさえ,,
even after,,,～の後でさえ,,
put on,verb,,増える,,
irony,noun,,皮肉,,
extra,adjective,,余分の,,
aerobic,adjective,,有酸素の,,
breathe,verb,,呼吸する,,
take up,verb,,取り上げる,,
some time,adverb,,しばらくの間,,
at a time,adverb,,一度に,,
in shape,adverb,,体調，体系などが良い状態の,,
gain,verb,,得る,,
ordinary,adjective,,普通の,,
firm,adjective,,引き締まった,,
thigh,noun,,腿,,
consume,verb,,消費する,,
above all,adverb,,なによりも,,
above,adverb,,上に,,
take in,verb,,摂取する,,
use up,verb,,使い切る,,
self-conscious,adjective,,自意識過剰の,,
moderately,adverb,,適度に,,
go too far,verb,,やり過ぎる,,
depression,noun,,不景気,,
budget,noun,,予算,,
feel like ~ing,verb,,~ したい,,
stand out,verb,,目立つ,,
nod,verb,,うなずく,,
shyly,adverb,,内気そうに,,
grandpa,noun,,おじいちゃん,,
generous,adjective,,気前が良い,,
I'm afraid ~,verb,,(残念ながら)...と思う,,
"            ",,,,,
